cluster_id;cluster_subcluster_indicatie;cluster_geometrie;cluster_wgs84_lat;cluster_wgs84_lon;cluster_datum_opvoer_cluster;cluster_datum_wijziging;cluster_datum_ontstaan_cluster;cluster_datum_einde_cluster;cluster_status;cluster_fractie_volume;cluster_fractie_aantal;gbd_buurt_identificatie;gbd_buurt_volgnummer;gbd_buurt_naam;gbd_buurt_code;gbd_buurt_begingeldigheid;gbd_buurt_cbs_code;gbd_wijk_identificatie;gbd_wijk_volgnummer;gbd_wijk_naam;gbd_wijk_code;gbd_wijk_begingeldigheid;gbd_wijk_cbs_code;gbd_stadsdeel_identificatie;gbd_stadsdeel_volgnummer;gbd_stadsdeel_naam;gbd_stadsdeel_code;gbd_stadsdeel_begingeldigheid;gbd_ggwgebied_identificatie;gbd_ggwgebied_volgnummer;gbd_ggwgebied_naam;gbd_ggwgebied_code;gbd_ggwgebied_begingeldigheid;woonplaats_naam;woonplaats_begingeldigheid;bag_openbareruimte_identificatie;bag_openbareruimte_volgnummer;bag_openbareruimte_naam;bag_openbareruimte_type;bag_openbareruimte_begingeldigheid;bag_adres_identificatie_verblijfsobject;bag_adres_identificatie_nummeraanduiding;bag_adres_identificatie_openbare_ruimte;bag_adres_identificatie_woonplaats;bag_adres_volgnummer_verblijfsobject;bag_adres_volgnummer_nummeraanduiding;bag_adres_volgnummer_openbare_ruimte;bag_adres_volgnummer_woonplaats;bag_adres_openbare_ruimte_naam;bag_adres_nummeraanduiding_huisnummer;bag_adres_nummeraanduiding_huisletter;bag_adres_nummeraanduiding_huisnummertoevoeging;bag_adres_nummeraanduiding_postcode;bag_adres_woonplaatsnaam;bag_adres_begingeldigheid
112740.024|487843.078;false;POINT(112740.024448705 487843.07840835);52.37682956;4.76658695;2020-01-28 15:15:20.500395;2016-01-01 00:00:00;2016-01-01;;1;"{""Glas:3 m3"",""Papier:3 m3"",""Plastic:4 m3""}";{Glas:1,Papier:1,Plastic:1};3630000000441;3;Osdorper Bovenpolder;F80b;2013-12-12;BU03638001;3630012052027;3;Lutkemeer/Ookmeer;F80;2013-12-12;WK036380;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000006;2;Osdorp;DX07;2019-10-03;Amsterdam;2014-01-10;0363300000002365;7;Osdorper Bovenpolder;Landschappelijk gebied;2014-01-10;0363010001036106;0363200000520747;0363300000004610;3594;9;3;8;3;Raasdorperweg;20;;;1067TK;Amsterdam;2012-08-09
112973.480|485077.400;false;POINT(112973.479675339 485077.399758997);52.35199190;4.77036090;2020-01-28 15:15:20.500395;2012-07-01 00:00:00;2012-07-01;;1;"{""Rest:8 m3""}";{Rest:2};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;0363300000005942;7;Schotse Hooglanden;Weg;2014-01-10;0363010000947925;0363200000438713;0363300000005942;3594;5;3;7;3;Schotse Hooglanden;58;;;1060NM;Amsterdam;2010-09-09
113011.560|484957.980;false;POINT(113011.559873673 484957.97999158);52.35092157;4.77093469;2020-01-28 15:15:20.500395;2016-01-11 00:00:00;2016-01-11;;1;"{""Rest:5 m3"",""Papier:3 m3""}";{Rest:1,Papier:1};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;0363300000002198;8;Pyreneeën;Weg;2014-01-10;0363010000947881;0363200000442120;0363300000002198;3594;13;3;8;3;Pyreneeën;49;;;1060NP;Amsterdam;2014-01-10
113022.126|485637.240;false;POINT(113022.125574074 485637.240004117);52.35702700;4.77100500;2020-01-28 15:15:20.500395;2020-04-01 16:11:38.257;2011-10-10;2020-04-01;1;;;3630000000442;3;Bedrijvenpark Lutkemeer;F80c;2013-12-12;BU03638002;3630012052027;3;Lutkemeer/Ookmeer;F80;2013-12-12;WK036380;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000006;2;Osdorp;DX07;2019-10-03;Amsterdam;2014-01-10;0363300000000955;7;Fogostraat;Weg;2014-01-10;;;;;;;;;;;;;;;
113043.960|485172.926;false;POINT(113043.95976425 485172.926247935);52.35285580;4.77138340;2020-01-28 15:15:20.500395;2012-07-01 00:00:00;2012-07-01;;1;"{""Rest:6 m3""}";{Rest:2};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;0363300000005942;7;Schotse Hooglanden;Weg;2014-01-10;0363010000948043;0363200000441782;0363300000005925;3594;5;3;7;3;Ben Wyvis;7;;;1060NN;Amsterdam;2010-09-09
113048.719|487543.976;false;POINT(113048.718957295 487543.976381071);52.37416517;4.77115743;2020-01-28 15:15:20.500395;2019-08-22 00:00:00;2019-08-22;;1;"{""Glas:3 m3"",""Papier:3 m3"",""Plastic:3 m3""}";{Glas:1,Papier:1,Plastic:1};3630000000441;3;Osdorper Bovenpolder;F80b;2013-12-12;BU03638001;3630012052027;3;Lutkemeer/Ookmeer;F80;2013-12-12;WK036380;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000006;2;Osdorp;DX07;2019-10-03;Amsterdam;2014-01-10;0363300000002365;7;Osdorper Bovenpolder;Landschappelijk gebied;2014-01-10;0363010000714414;0363200000425559;0363300000004750;3594;5;3;8;3;Osdorperweg;772;;;1067TB;Amsterdam;2010-09-09
113095.022|485087.761;false;POINT(113095.022280174 485087.760814245);52.35209430;4.77214345;2020-01-28 15:15:20.500395;2016-01-22 00:00:00;2016-01-22;;1;"{""Rest:8 m3""}";{Rest:2};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;0363300000005914;7;Ben Avon;Weg;2014-01-10;0363010000566859;0363200000441920;0363300000005921;3594;5;3;7;3;La Meye;30;;;1060NS;Amsterdam;2010-09-09
113103.780|485014.560;false;POINT(113103.780019333 485014.560111806);52.35143710;4.77228110;2020-01-28 15:15:20.500395;2016-01-11 00:00:00;2016-01-11;;1;"{""Rest:8 m3""}";{Rest:2};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;0363300000005920;7;Le Tourmalet;Weg;2014-01-10;0363010000950898;0363200000441966;0363300000005920;3594;8;3;7;3;Le Tourmalet;54;;;1060NX;Amsterdam;2013-02-23
113105.048|484894.139;false;POINT(113105.047745418 484894.138968145);52.35035495;4.77231470;2020-01-28 15:15:20.500395;2012-07-01 00:00:00;2012-07-01;;1;"{""Rest:8 m3""}";{Rest:2};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;;;;;;0363010000947866;0363200000442106;0363300000002198;3594;9;3;8;3;Pyreneeën;21;;;1060NP;Amsterdam;2013-02-23
113128.774|485120.766;false;POINT(113128.773568769 485120.76637101);52.35239350;4.77263470;2020-01-28 15:15:20.500395;2012-07-01 00:00:00;2012-07-01;;1;"{""Papier:5 m3""}";{Papier:1};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;;;;;;0363010000948329;0363200000441912;0363300000005921;3594;5;3;7;3;La Meye;14;;;1060NS;Amsterdam;2007-12-13
113141.478|485133.325;false;POINT(113141.478047732 485133.325250634);52.35250734;4.77281960;2020-01-28 15:15:20.500395;2015-01-01 00:00:00;2015-01-01;;1;"{""Glas:3 m3"",""Plastic:4 m3""}";{Glas:1,Plastic:1};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;0363300000001545;7;Brenner;Weg;2014-01-10;0363010000949079;0363200000442027;0363300000001349;3594;5;3;7;3;Simplon;3;;;1060NS;Amsterdam;2010-09-09
113175.566|485179.983;false;POINT(113175.565878902 485179.982505891);52.35292925;4.77331410;2020-01-28 15:15:20.500395;2012-07-01 00:00:00;2012-07-01;;1;"{""Rest:10 m3""}";{Rest:2};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;;;;;;0363010000733495;0363200000442000;0363300000001343;3594;8;3;7;3;Ortler;127;;;1060NL;Amsterdam;2013-02-23
113192.478|484837.346;false;POINT(113192.478386636 484837.345948784);52.34985120;4.77360490;2020-01-28 15:15:20.500395;2012-07-01 00:00:00;2012-07-01;;1;"{""Rest:8 m3""}";{Rest:2};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;0363300000002198;8;Pyreneeën;Weg;2014-01-10;0363010000947856;0363200000442096;0363300000002198;3594;8;3;8;3;Pyreneeën;1;;;1060NP;Amsterdam;2013-02-23
113204.437|485258.428;false;POINT(113204.437321899 485258.427915548);52.35363645;4.77372810;2020-01-28 15:15:20.500395;2011-07-01 00:00:00;2011-07-01;;1;"{""Rest:5 m3"",""Papier:3 m3""}";{Rest:1,Papier:1};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;;;;;;0363010000953363;0363200000449702;0363300000001482;3594;8;3;7;3;Akersingel;205;;;1060NK;Amsterdam;2013-02-23
113213.498|484941.461;false;POINT(113213.497784076 484941.460991151);52.35078850;4.77390045;2020-01-28 15:15:20.500395;2012-07-01 00:00:00;2012-07-01;;1;"{""Rest:8 m3""}";{Rest:2};3630000000455;4;De Aker West;F84b;2015-11-01;BU03638401;3630012052023;5;Middelveldsche Akerpolder;F84;2015-11-01;WK036384;3630011872037;3;Nieuw-West;F;2015-01-01;3630950000007;2;De Aker, Sloten, Nieuw-Sloten;DX08;2019-10-03;Amsterdam;2014-01-10;0363300000005920;7;Le Tourmalet;Weg;2014-01-10;0363010000951204;0363200000441945;0363300000005920;3594;9;3;7;3;Le Tourmalet;12;;;1060NX;Amsterdam;2013-02-23
