"ligtin_bag_pnd_identificatie","aantal_woonfunctie","aantal_niet_woonfunctie","min_verdiepingtoegang"
"0363100012061164","6","0","1"
"0363100012061165","8","0","0"
"0363100012061166","2","0","0"
"0363100012061167","30","0",NULL
"0363100012061168","2","0","0"
"0363100012061169","1","0","0"
"0363100012061170","6","0","0"
"0363100012061171","1","0","0"
"0363100012061172","1","0","0"
"0363100012061173","1","0","0"
"0363100012061174","4","0","0"
"0363100012061175","1","0","0"
"0363100012061176","0","1",NULL
"0363100012061177","2","0",NULL
"0363100012061178","3","0","0"
"0363100012061179","2","0","0"
"0363100012061180","4","0","0"
"0363100012061181","1","0","0"
"0363100012061182","2","0","0"
"0363100012061183","8","0",NULL
"0363100012061184","0","1",NULL
"0363100012061185","1","0","0"
"0363100012061186","0","2","0"
"0363100012061187","2","1","0"
"0363100012061188","1","0","0"
"0363100012061189","3","1","1"
"0363100012061190","8","0","0"
"0363100012061191","9","5","0"
"0363100012061192","10","0","0"
"0363100012061193","4","0","0"
"0363100012061194","6","0","1"
"0363100012061195","1","0","0"
"0363100012061196","2","0","0"
"0363100012061197","0","1",NULL
"0363100012061198","1","0","0"
"0363100012061199","1","0","0"
"0363100012061200","1","0","0"
"0363100012061201","1","0","0"
"0363100012061202","1","0","0"
"0363100012061203","3","2","1"
"0363100012061204","1","0","0"
"0363100012061205","2","0","0"
"0363100012061206","2","0","0"
"0363100012061207","1","0","0"
"0363100012061208","4","0","0"
"0363100012061209","1","0","0"
"0363100012061210","3","0","0"
"0363100012061211","1","0","0"
"0363100012061212","36","1","0"
"0363100012061213","1","0","0"
"0363100012061214","1","0","0"
"0363100012061215","1","0","0"
"0363100012061216","1","0","0"
"0363100012061217","1","0","0"
"0363100012061218","1","0","0"
"0363100012061219","0","1",NULL
"0363100012061220","7","0","0"
"0363100012061221","2","0","0"
"0363100012061222","1","0","0"
"0363100012061223","1","0","0"
"0363100012061224","1","0","0"
"0363100012061225","1","0","0"
"0363100012061226","3","0","0"
"0363100012061227","1","0","0"
"0363100012061228","2","0","0"
"0363100012061229","1","0","0"
"0363100012061230","4","0","0"
"0363100012061231","1","0","0"
"0363100012061232","1","0","0"
"0363100012061233","0","1",NULL
"0363100012061234","1","0","0"
"0363100012061235","5","0","0"
"0363100012061236","0","1",NULL
"0363100012061237","1","0","0"
"0363100012061238","1","0","0"
"0363100012061239","6","0","0"
"0363100012061240","1","0","0"
"0363100012061241","1","0","0"
"0363100012061242","0","1","0"
"0363100012061243","2","0","0"
"0363100012061244","4","0","0"
"0363100012061246","1","0","0"
"0363100012061247","4","0","0"
"0363100012061248","1","0","0"
"0363100012061249","1","0","0"
"0363100012061250","2","0","0"
"0363100012061251","3","0","0"
"0363100012061252","0","1",NULL
"0363100012061253","4","0","0"
"0363100012061254","2","0","0"
"0363100012061255","0","1","0"
"0363100012061256","5","0","0"
"0363100012061257","7","0","0"
"0363100012061258","1","0","0"
"0363100012061259","1","1","1"
"0363100012061260","1","0","0"
"0363100012061261","1","0","0"
"0363100012061262","2","0","0"
"0363100012061263","1","0","0"
"0363100012061264","3","0","0"
"0363100012061265","1","0","0"
"0363100012061266","0","1","0"
"0363100012061267","1","0","0"
"0363100012061268","8","0","0"
"0363100012061269","1","0","0"
"0363100012061270","1","0","0"
"0363100012061271","1","0","0"
"0363100012061272","4","0","0"
"0363100012061273","0","1",NULL
"0363100012061274","4","0","0"
"0363100012061275","2","0","0"
"0363100012061276","1","0","0"
"0363100012061277","2","0","0"
"0363100012061278","1","0","0"
"0363100012061279","1","0","0"
"0363100012061280","4","0","0"
"0363100012061281","1","0","0"
"0363100012061282","1","0","0"
"0363100012061283","6","1","1"
"0363100012061284","0","1",NULL
"0363100012061285","1","0","0"
"0363100012061286","0","1",NULL
"0363100012061287","1","0","0"
"0363100012061288","1","0","0"
"0363100012061289","1","1","1"
"0363100012061290","4","0","0"
"0363100012061291","1","0","0"
"0363100012061292","3","0","0"
