WKT,id,id_number,serial_number,active,operational_date,placing_date,owner,waste_type,waste_name,container_type_id,stadsdeel,buurt_code,text
"POINT (4.85564455389977 52.3535881143323)","120999",PLK,PLK,"2",2020/12/01 01:00:00+01,2020/12/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","25",Plastic,"3324",K,K45a,"Tweede Schinkelstraat 1, Amsterdam"
"POINT (4.90547932684422 52.4082536495065)","123903",REN00,HBD2.0,"2",,2020/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3320",N,N65d,Galastraat 41 - 42
"POINT (4.90559801459313 52.4206136404827)","120561",REN00,HBD2.0,"2",,2020/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3321",N,N67b,"Johannes J. Glasweg 3, Amsterdam"
"POINT (4.94056301191108 52.3222350140627)","76471",RET20380,BAZO00007,"1",2016/07/12 02:00:00+02,2016/07/12 02:00:00+02,"{""id"": 113, ""name"": ""T Zuidoost""}","1",Rest,"3141",T,T93a,"Alexander Dumaslaan 88, Amsterdam"
"POINT (4.90168400108814 52.4107529211185)","123038",WLPLN00,HBD2.0,"0",,,"{""id"": 181, ""name"": ""N Noord""}","25",Plastic,"3568",N,N65d,"Moestuinlaan 30, Amsterdam"
"POINT (4.8595871 52.3595927)","57737",PA0106,BAW02087,"1",2016/11/18 01:00:00+01,2016/11/18 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","6",Papier,"3322",E,E21a,"Rhijnvis Feithstraat 50, Amsterdam"
"POINT (4.8011853 52.3589086)","27813",PLF30206,"664675","1",2014/11/02 01:00:00+01,2014/11/02 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","25",Plastic,"2392",F,F81c,"M. Hanenbergstraat 42, Amsterdam"
"POINT (4.8538487 52.3835631)","14632",RE4288,BAW01883,"1",2006/01/01 01:00:00+01,2006/01/01 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"363",E,E37f,"Gibraltarstraat 10, Amsterdam"
"POINT (4.88387480378151 52.3557186171553)","119719",PLK,PLK,"2",2019/11/30 01:00:00+01,2019/11/30 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","25",Plastic,"3324",K,K47a,"Johannes Vermeerplein 1, Amsterdam"
"POINT (4.9082792 52.3468779)","49774",REK01031,BAZ001477,"1",2001/01/01 01:00:00+01,2001/01/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3310",K,K53b,"Vrijheidslaan 46, Amsterdam"
"POINT (4.8544348 52.3838818)","104017",RE0836,"3","1",2017/11/13 01:00:00+01,2017/11/13 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37f,"Solebaystraat 61, Amsterdam"
"POINT (4.85573524609208 52.3525151448882)","121003",GLK,GLK,"2",2020/12/01 01:00:00+01,2020/12/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","2",Glas,"3323",K,K45a,"Sluisstraat 1, Amsterdam"
"POINT (4.84938025474548 52.3739649795764)","103656",GLE00052,"22","1",2017/10/19 02:00:00+02,2017/10/19 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","2",Glas,"3323",E,E38c,"Mercatorstraat 125, Amsterdam"
"POINT (4.8499955 52.3555183)","118456",PAK02417,PAK02417,"1",2019/08/05 02:00:00+02,2019/08/05 02:00:00+02,"{""id"": 67, ""name"": ""K Zuid""}","6",Papier,"4649",K,K44b,"Albert Neuhuysstraat 34, Amsterdam"
"POINT (5.00062052159137 52.3534720709264)","123582",GLM028,HBD2.019,"2",2020/12/31 01:00:00+01,2020/12/31 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","2",Glas,"3589",M,M35f,"Lumièrestraat 32, Amsterdam"
"POINT (4.87834542989731 52.4183533543144)","114142",REN00,HBD2.0,"2",2019/12/31 01:00:00+01,2019/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3320",N,N65a,"Schutterweg 103, Amsterdam"
