,avg_distance,penalties,best,amount of modifications
0,153.8213931957912,277.98735800777945,277.98735800777945,
1,154.01936904623466,276.20403679604266,277.98735800777945,104.0
2,154.8823912062011,280.1927323313039,276.20403679604266,103.0
3,154.00839372527435,279.32623590182646,276.20403679604266,80.0
4,153.70130207937416,277.26539076610857,276.20403679604266,97.0
5,153.50582194855113,275.69212895104005,276.20403679604266,94.0
6,155.3119330013566,279.9464890136141,275.69212895104005,89.0
7,153.61123319548383,275.758592068324,275.69212895104005,92.0
8,153.42411300166316,277.769601665821,275.69212895104005,105.0
9,154.02488416151223,276.518848932437,275.69212895104005,111.0
10,153.86230939122322,278.8598386225267,275.69212895104005,108.0
11,153.39897986464044,275.3948271224421,275.69212895104005,94.0
12,153.1381300991727,276.88115487696604,275.3948271224421,96.0
13,153.26233536821638,277.12800930153895,275.3948271224421,110.0
14,153.0905239019154,275.5880566823101,275.3948271224421,77.0
15,153.80769371114883,276.58547277397264,275.3948271224421,102.0
16,153.48284852760497,277.2225895776624,275.3948271224421,109.0
17,154.02746751856125,275.42637615846445,275.3948271224421,91.0
18,153.1001473997242,274.5403990508202,275.3948271224421,93.0
19,152.8698070202128,275.59979257356673,274.5403990508202,90.0
20,153.57619630352272,277.36604074919666,274.5403990508202,89.0
21,153.56927912977147,275.4440119067747,274.5403990508202,88.0
22,153.77287019177936,274.89929380813464,274.5403990508202,113.0
23,152.9949865104044,275.1093281561813,274.5403990508202,116.0
24,152.97912404913055,275.2332283210722,274.5403990508202,90.0
25,153.56512629518016,276.10136854811435,274.5403990508202,89.0
26,153.5371128920612,276.06035742643326,274.5403990508202,90.0
27,153.65918315717238,277.22047375909017,274.5403990508202,109.0
28,152.93936265281081,275.0811235464993,274.5403990508202,97.0
29,153.7048985002615,276.43160532090315,274.5403990508202,88.0
30,153.64706266340534,277.3353394533232,274.5403990508202,94.0
31,154.22777578849363,279.59258615761877,274.5403990508202,109.0
32,152.85392067823312,275.7011730678167,274.5403990508202,80.0
33,153.4106393759629,274.43343311982073,274.5403990508202,115.0
34,153.571035515931,275.19801849737865,274.43343311982073,82.0
35,153.6216255019694,274.88429942922374,274.43343311982073,100.0
36,152.78943956811594,273.45451173685103,274.43343311982073,85.0
37,152.3178690817551,273.0124113605615,273.45451173685103,90.0
38,153.30014566227663,276.82975851090816,273.0124113605615,96.0
39,152.2182784467363,273.0078382081854,273.0124113605615,89.0
40,152.3087927675859,273.72148763947087,273.0078382081854,83.0
41,152.00407840640952,273.25361778073733,273.0078382081854,74.0
42,153.41979327762294,277.2990927300017,273.0078382081854,117.0
43,152.36810161435113,274.36388995222393,273.0078382081854,95.0
44,152.80409277558857,274.13336523338404,273.0078382081854,92.0
45,152.38909437729407,273.22218085785556,273.0078382081854,86.0
46,152.31273773153367,274.2086453809403,273.0078382081854,100.0
47,153.06351822248843,274.51536292279724,273.0078382081854,81.0
48,153.25066730830216,276.60925049890074,273.0078382081854,88.0
49,152.61967322039467,276.4253186263318,273.0078382081854,103.0
50,153.32264587856147,278.001470273127,273.0078382081854,95.0
51,151.7854245659917,273.50543274353123,273.0078382081854,66.0
52,152.3412615829684,274.5051604621174,273.0078382081854,95.0
53,152.77591554607653,274.9346647209495,273.0078382081854,101.0
54,151.69597414993206,272.394398325723,273.0078382081854,94.0
55,151.96707619142782,272.8181867875867,272.394398325723,93.0
56,151.63196562627803,272.0922910916624,272.394398325723,87.0
57,151.20618517271703,271.73433058726533,272.0922910916624,88.0
58,150.8647761485957,271.9993374748508,271.73433058726533,117.0
59,150.74563719070332,272.6210712180788,271.73433058726533,105.0
60,152.10323748343615,274.6093855510077,271.73433058726533,108.0
61,152.33846818406747,275.13273855910705,271.73433058726533,97.0
62,151.5522618924727,272.42831437933364,271.73433058726533,118.0
63,151.28913437989604,272.7651000930154,271.73433058726533,86.0
64,151.11219998036435,272.6944907787925,271.73433058726533,103.0
65,151.36046354860986,273.1695546296296,271.73433058726533,91.0
66,152.06695236703868,275.2524429773381,271.73433058726533,90.0
67,151.28299810955872,272.9849863436496,271.73433058726533,80.0
68,151.78376500333238,272.532633688483,271.73433058726533,75.0
69,150.97046009749653,271.2912831092508,271.73433058726533,90.0
70,151.9406150236931,275.89897037882633,271.2912831092508,106.0
71,150.9767377082986,273.0781726894131,271.2912831092508,104.0
72,152.19363546674342,276.6729389565365,271.2912831092508,86.0
73,151.65415837415134,275.93293549144045,271.2912831092508,94.0
74,151.3946820753681,272.39047288389986,271.2912831092508,105.0
75,151.08887864592248,270.92573123625914,271.2912831092508,97.0
76,153.09180932403936,276.1244931929647,270.92573123625914,100.0
77,151.2597489771659,271.72618344748855,270.92573123625914,90.0
78,151.69743758400716,271.79227774818196,270.92573123625914,106.0
79,151.5731350668532,272.2265667110604,270.92573123625914,96.0
80,151.4076579277839,272.690438258921,270.92573123625914,98.0
81,152.06433328497954,274.5022218797565,270.92573123625914,84.0
82,151.86390526948156,275.20039151657363,270.92573123625914,94.0
83,151.85978569731682,274.23037076779974,270.92573123625914,110.0
84,151.11769590206612,271.28216581473026,270.92573123625914,92.0
85,152.03497535232924,274.2701030060883,270.92573123625914,89.0
86,151.47695074893906,271.2914850012684,270.92573123625914,96.0
87,152.4792773389636,276.8799728120244,270.92573123625914,97.0
88,150.56024881867518,271.3940805153898,270.92573123625914,88.0
89,151.44321069793696,271.6965336060375,270.92573123625914,89.0
90,150.98485887971555,270.3016190174192,270.92573123625914,86.0
91,151.0469839431883,269.604272869102,270.3016190174192,105.0
92,151.49411424691706,270.151818140115,269.604272869102,97.0
93,150.8509117601396,270.68058626120416,269.604272869102,102.0
94,150.9435049837479,269.6409236428209,269.604272869102,112.0
95,151.1328514824915,269.9776486555048,269.604272869102,86.0
96,150.85403187848993,270.6066925947066,269.604272869102,90.0
97,151.62567776198375,271.25505927617115,269.604272869102,110.0
98,151.80119920148655,274.34709891794296,269.604272869102,110.0
99,150.823070368804,269.37180133603925,269.604272869102,106.0
100,150.8200746313167,270.8451665186877,269.37180133603925,98.0
101,150.86894913711654,269.1589685523423,269.37180133603925,87.0
102,151.29399765636563,269.3824280060883,269.1589685523423,91.0
103,151.12061454791768,270.24680291095893,269.1589685523423,96.0
104,151.13981322338265,270.610009151446,269.1589685523423,104.0
105,151.54833583448706,273.36549639988164,269.1589685523423,95.0
106,151.2000436477385,269.99256454054233,269.1589685523423,78.0
107,151.085219601871,270.87565444570305,269.1589685523423,99.0
108,151.36428783252674,270.37000908168443,269.1589685523423,85.0
109,151.8143569887175,270.92191742770166,269.1589685523423,105.0
110,150.93624325235015,271.35468653813626,269.1589685523423,105.0
111,151.53412369288606,270.17491329697276,269.1589685523423,85.0
112,152.37735513846033,274.867415848554,269.1589685523423,102.0
113,152.0338472543113,273.62864393920177,269.1589685523423,78.0
114,150.62202831425066,270.24996828809407,269.1589685523423,116.0
115,150.4009882315082,268.792001987147,269.1589685523423,95.0
116,149.9942695911236,268.82679762387954,268.792001987147,100.0
117,150.6061463113521,270.89893798198887,268.792001987147,106.0
118,150.65562796777738,270.49766889692205,268.792001987147,91.0
119,150.9936776813918,271.46783848300356,268.792001987147,84.0
120,152.08959625813375,272.9860149247421,268.792001987147,86.0
121,150.4958078033552,270.0129145061729,268.792001987147,77.0
122,150.67543137880904,270.7576089019956,268.792001987147,90.0
123,150.7900931924981,271.8059946199053,268.792001987147,110.0
124,151.69800848496763,273.5150421909352,268.792001987147,99.0
125,150.18031587952632,270.9852464780991,268.792001987147,98.0
126,150.2340630943198,270.5878258751903,268.792001987147,93.0
127,151.04194404169846,272.05891123583626,268.792001987147,93.0
128,150.6643553637934,269.4329173283443,268.792001987147,94.0
129,150.77178745516255,269.3766268983595,268.792001987147,103.0
130,150.35699412382706,268.74922171275153,268.792001987147,92.0
131,150.56651064875774,270.23191659479113,268.74922171275153,101.0
132,150.32221125555012,269.6039490402503,268.74922171275153,95.0
133,150.8992438287065,268.7466542089464,268.74922171275153,89.0
134,150.73139516981763,269.15368299932356,268.7466542089464,80.0
135,151.382042783036,269.9237099780146,268.7466542089464,96.0
136,151.01678731598378,269.5393229726873,268.7466542089464,95.0
137,151.08127519463298,269.2734408041603,268.7466542089464,99.0
138,150.7324991833782,268.8136858828006,268.7466542089464,89.0
139,151.3360703386642,270.0959986132251,268.7466542089464,95.0
140,151.58282132451714,270.40681237104684,268.7466542089464,93.0
141,150.86923633339939,270.9500587349907,268.7466542089464,90.0
142,150.95904918168947,270.2593676243024,268.7466542089464,94.0
143,151.30010705292176,269.52276901953326,268.7466542089464,83.0
144,151.46643520592383,272.700938254693,268.7466542089464,83.0
145,150.56888648864248,270.43216508329107,268.7466542089464,80.0
146,151.08388773222848,269.4275300460849,268.7466542089464,81.0
147,150.68665170358267,270.9728239176391,268.7466542089464,76.0
148,151.2562477653962,270.01247586250634,268.7466542089464,94.0
149,151.37034435071635,272.85914683113475,268.7466542089464,102.0
150,151.50492579355364,270.3768935502283,268.7466542089464,101.0
151,150.58586361961693,269.6011063102486,268.7466542089464,87.0
152,150.7887464100105,270.9987381807035,268.7466542089464,96.0
153,151.08372092399196,270.7616495772028,268.7466542089464,90.0
154,152.76678964547804,275.3942676708101,268.7466542089464,99.0
155,151.96218974913205,273.2016723152376,268.7466542089464,102.0
156,150.97601400209393,269.5255193133773,268.7466542089464,86.0
157,151.85433986182863,274.61358823989514,268.7466542089464,95.0
158,151.39207691438955,271.9546893412819,268.7466542089464,101.0
159,151.33465321619994,270.2899779870624,268.7466542089464,100.0
