,avg_distance,penalties,best,amount of modifications
0,240.66722927363494,392.816994284084,392.816994284084,
1,241.1321752162955,395.05720198532157,392.816994284084,17.0
2,240.696572355159,398.91267747870063,392.816994284084,24.0
3,241.3161561723545,391.3975658068198,392.816994284084,24.0
4,240.8649541325198,395.2824778741908,391.3975658068198,17.0
5,241.8274227635554,388.79775008362355,391.3975658068198,18.0
6,239.456939899747,388.561735562639,388.79775008362355,21.0
7,239.3181050279103,389.7169691044423,388.561735562639,12.0
8,241.50960676780736,399.27708257088324,388.561735562639,23.0
9,238.99737194794662,384.73726019715485,388.561735562639,20.0
10,240.03667661429995,385.18323536587764,384.73726019715485,21.0
11,240.66114567506952,385.9954374790941,384.73726019715485,19.0
12,240.20589880373302,384.4856633315625,384.73726019715485,17.0
13,240.4556464576081,385.03755070538926,384.4856633315625,19.0
14,240.22425712430788,384.9943475099857,384.4856633315625,18.0
15,240.02078278772296,384.1741829978553,384.4856633315625,19.0
16,240.0056190552427,385.0092385829251,384.1741829978553,22.0
17,241.45494391540095,385.71285305865456,384.1741829978553,26.0
18,240.6483012834982,386.50926692705775,384.1741829978553,20.0
19,241.40140011197883,384.77205817248097,384.1741829978553,19.0
20,241.69993955306984,386.2331661452492,384.1741829978553,22.0
21,239.43850699793788,385.20877518052845,384.1741829978553,18.0
22,241.95507766667055,385.4613767192019,384.1741829978553,17.0
23,239.89222569496047,386.9006741927867,384.1741829978553,18.0
24,241.62539536772982,385.282872518348,384.1741829978553,22.0
25,239.2447851205754,382.927970177615,384.1741829978553,20.0
26,240.75396268762822,382.14711045801823,382.927970177615,28.0
27,241.38620027095922,382.26106796431947,382.14711045801823,21.0
28,240.9302626866647,381.5613362082546,382.14711045801823,20.0
29,241.52492077460215,382.2396375433208,381.5613362082546,20.0
30,242.0325102867269,383.5909963275835,381.5613362082546,14.0
31,242.45324355048757,381.65409437545514,381.5613362082546,18.0
32,242.42341777780598,383.3385618304978,381.5613362082546,18.0
33,241.34574897950057,381.972538594833,381.5613362082546,24.0
34,240.91185858541155,381.24116437263706,381.5613362082546,10.0
35,241.86305911854114,384.96311448487717,381.24116437263706,25.0
36,240.4398806512957,379.78801854697315,381.24116437263706,19.0
37,240.94997343891816,379.9666625593444,379.78801854697315,15.0
38,240.97234551336243,381.6357716447019,379.78801854697315,20.0
39,238.80089145509777,379.0552427654,379.78801854697315,21.0
40,239.28657588777122,378.62493529736224,379.0552427654,19.0
41,240.2314861846342,378.6878609223253,378.62493529736224,21.0
42,239.12641468947834,379.8984413155251,378.62493529736224,15.0
43,238.94621784169695,377.2840018615921,378.62493529736224,17.0
44,240.12107566252,379.88642519157656,377.2840018615921,18.0
45,238.11020707596637,381.5770066488052,377.2840018615921,13.0
46,240.69422161727914,378.27427645135236,377.2840018615921,22.0
47,238.25197800190702,378.1360185174241,377.2840018615921,16.0
48,240.28993064582505,380.6914241672084,377.2840018615921,21.0
49,239.7192139850795,378.84472530189316,377.2840018615921,17.0
50,238.98425102509347,377.0453080688691,377.2840018615921,10.0
51,239.96309285955093,378.80547613216675,377.0453080688691,17.0
52,238.66903767390508,377.5989949569568,377.0453080688691,11.0
53,240.0800540998884,379.65982830998956,377.0453080688691,19.0
54,239.17699767918697,379.6635196205898,377.0453080688691,22.0
55,237.9240461275891,375.0789682544373,377.0453080688691,23.0
56,240.02405468432957,379.2675876425743,375.0789682544373,27.0
57,236.29909227285316,376.57854088607843,375.0789682544373,21.0
58,240.25726005651057,380.498684918149,375.0789682544373,26.0
59,239.0246781105286,377.31770793688315,375.0789682544373,17.0
60,240.26356743252953,374.36379013257687,375.0789682544373,26.0
61,240.6940620478183,376.730280450328,374.36379013257687,15.0
62,242.18795072424487,376.4406796876538,374.36379013257687,14.0
63,241.82546897225626,377.2043140450214,374.36379013257687,20.0
64,242.34838610398796,379.7993676595158,374.36379013257687,17.0
65,240.11371224932878,376.4829028918701,374.36379013257687,16.0
66,240.09114942181674,375.5133826310502,374.36379013257687,14.0
67,240.2988721074828,375.4726291688829,374.36379013257687,23.0
68,240.0854022356729,376.23234453243504,374.36379013257687,14.0
69,240.0182066745901,377.564474469594,374.36379013257687,21.0
70,242.64721044366243,379.3124131063946,374.36379013257687,13.0
71,240.21744374392551,375.66890175504403,374.36379013257687,24.0
72,241.7482754402436,377.80209195345725,374.36379013257687,25.0
73,241.92846210593456,379.57246578216416,374.36379013257687,28.0
74,241.20879851375102,375.3103497527727,374.36379013257687,16.0
75,240.28003190075455,375.7523832132593,374.36379013257687,17.0
76,241.72130399998483,384.9132245336171,374.36379013257687,26.0
77,238.5773048769292,374.36890581722906,374.36379013257687,28.0
78,241.39871176846646,386.69737501723694,374.36379013257687,34.0
79,239.78066394392562,376.038842670843,374.36379013257687,26.0
80,240.05271524025213,376.95853426708436,374.36379013257687,18.0
81,241.27915862493342,381.15768797155414,374.36379013257687,18.0
82,240.30703478205726,374.88355516813425,374.36379013257687,14.0
83,241.23447474324448,372.78089530760593,374.36379013257687,15.0
84,241.89311237063438,374.39895765799474,372.78089530760593,20.0
85,241.91634764781773,373.0848184996946,372.78089530760593,13.0
86,240.94469328551568,374.70515749364944,372.78089530760593,21.0
87,241.58533656460398,373.44269118255426,372.78089530760593,24.0
88,242.24048280256218,374.06052345212066,372.78089530760593,16.0
89,242.1213436612483,371.50584504461904,372.78089530760593,17.0
90,241.83585250760643,372.14763838819607,371.50584504461904,24.0
91,242.34996508804176,372.20582183874075,371.50584504461904,16.0
92,244.04656245860505,374.2186589740559,371.50584504461904,23.0
93,243.3102702151618,375.9386481579984,371.50584504461904,17.0
94,245.8565147970054,373.6946576147982,371.50584504461904,23.0
95,241.52464678789286,373.3877761361622,371.50584504461904,13.0
96,241.25994143521538,372.5675052104879,371.50584504461904,13.0
97,241.54741478404316,371.2302178949235,371.50584504461904,19.0
98,242.01553283973468,374.1533026219885,371.2302178949235,20.0
99,239.61722473559752,370.2450233043752,371.2302178949235,21.0
100,239.9588628044169,379.45378536532513,370.2450233043752,22.0
101,238.93494684014803,373.20182560132383,370.2450233043752,25.0
102,239.05188535833366,372.4638909737407,370.2450233043752,21.0
103,239.41971478217317,368.60942093650885,370.2450233043752,25.0
104,240.8052847879827,370.4044092547722,368.60942093650885,29.0
105,240.34916491716643,372.34513728503043,368.60942093650885,15.0
106,238.53190529210124,368.70233140004325,368.60942093650885,29.0
107,238.32858880300145,369.3781543348502,368.60942093650885,24.0
108,239.47685790254698,367.95087411106516,368.60942093650885,27.0
109,239.07331217089532,369.13075268404157,367.95087411106516,18.0
110,239.67736089852522,372.10325682091286,367.95087411106516,21.0
111,240.3086214843783,367.03165383251576,367.95087411106516,18.0
112,238.63892810639666,366.2645647617359,367.03165383251576,22.0
113,238.97376186369584,367.30651946299463,366.2645647617359,26.0
114,240.53411517240318,367.08853176526213,366.2645647617359,20.0
115,241.7090076570247,371.61378765045407,366.2645647617359,28.0
116,238.3327442156928,367.8848648326537,366.2645647617359,12.0
117,238.91624195688553,365.0794582175995,366.2645647617359,21.0
118,239.5166061954385,365.8434331993775,365.0794582175995,10.0
119,239.97867435902458,368.49669604830285,365.0794582175995,16.0
120,239.18143521168142,364.84622103697575,365.0794582175995,21.0
121,238.95528783046083,366.1125773791935,364.84622103697575,16.0
122,242.30961643608572,379.37925322577473,364.84622103697575,25.0
123,241.45637838568064,370.51385882434056,364.84622103697575,21.0
124,241.38414394527456,378.7332435831672,364.84622103697575,19.0
125,244.10003480196457,370.37860361505125,364.84622103697575,19.0
126,239.40223915931313,366.6834240687115,364.84622103697575,18.0
