,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_nodes,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,split,x,y,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
0,117717,487953,31879.0,117717.245~487953.192~afval_cluster~117717.245|487953.192,515100.0,91243.0,2020-04-01 13:57:12,2020-04-01 13:57:12,56adc309-fd44-59f5-be02-f3fde03a143d,False,357.0,afval_cluster,117717.245|487953.192,"['117717.245', '487953.192', 'afval_cluster', '117717.245|487953.192']",117717.0,487953.0,['Papier:1'],['Papier:3 m3'],Woutertje Pietersestraat,E39c,E39,E,0,0,1,0,0,1,True,0.0
1,117768,487631,271821.0,117767.960~487630.773~afval_cluster~117767.960|487630.773,755171.0,93665.0,2020-04-01 13:57:12,2020-04-01 13:57:12,0a5ad2b6-64c8-0164-ea05-b625ab296a68,False,357.0,afval_cluster,117767.960|487630.773,"['117767.960', '487630.773', 'afval_cluster', '117767.960|487630.773']",117768.0,487631.0,['Rest:1'],['Rest:5 m3'],Willem Augustinstraat,E39b,E39,E,1,0,0,0,0,1,True,0.0
2,117825,487616,399251.0,117824.582~487615.542~afval_cluster~117824.582|487615.542,882682.0,7419.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1fa9e10d-56e3-e783-f0f1-677eaaa7a12d,False,357.0,afval_cluster,117824.582|487615.542,"['117824.582', '487615.542', 'afval_cluster', '117824.582|487615.542']",117825.0,487616.0,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:5 m3']",Willem Augustinstraat,E39b,E39,E,1,0,1,0,0,2,True,0.0
3,117831,487512,209806.0,117830.586~487512.205~afval_cluster~117830.586|487512.205,693117.0,83273.0,2020-04-01 13:57:12,2020-04-01 13:57:12,2b828ece-daa2-5e25-3c27-0bf810b7420e,False,357.0,afval_cluster,117830.586|487512.205,"['117830.586', '487512.205', 'afval_cluster', '117830.586|487512.205']",117831.0,487512.0,"['Rest:1', 'Plastic:1']","['Rest:5 m3', 'Plastic:4 m3']",Gerrie Knetemannlaan,E39b,E39,E,1,1,0,0,0,2,True,0.0
4,117867,487611,406796.0,117866.709~487610.668~afval_cluster~117866.709|487610.668,890231.0,132548.0,2020-04-01 13:57:12,2020-04-01 13:57:12,91fcd115-2917-4584-a5bb-2e141ff46046,False,357.0,afval_cluster,117866.709|487610.668,"['117866.709', '487610.668', 'afval_cluster', '117866.709|487610.668']",117867.0,487611.0,['Rest:1'],['Rest:5 m3'],Erasmusgracht,E39b,E39,E,1,0,0,0,0,1,True,0.0
5,117921,488476,140292.0,117920.812~488475.779~afval_cluster~117920.812|488475.779,623572.0,485.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c55fb583-1fc3-5360-c15a-40fca1f2766a,False,357.0,afval_cluster,117920.812|488475.779,"['117920.812', '488475.779', 'afval_cluster', '117920.812|488475.779']",117921.0,488476.0,['Rest:1'],['Rest:5 m3'],Ferdinand Huyckstraat,E39d,E39,E,1,0,0,0,0,1,True,0.0
6,118119,483706,426573.0,118119.080~483705.839~afval_cluster~118119.080|483705.839,910020.0,161287.0,2020-04-01 13:57:12,2020-04-01 13:57:12,98be021d-2b02-cfdc-63eb-d27e0afa63e8,False,357.0,afval_cluster,118119.080|483705.839,"['118119.080', '483705.839', 'afval_cluster', '118119.080|483705.839']",118119.0,483706.0,"['Rest:1', 'Glas:1']","['Rest:5 m3', 'Glas:5 m3']",Valschermkade,K44f,K44,K,1,0,0,1,0,2,True,0.0
7,118155,487325,74931.0,118154.505~487325.070~afval_cluster~118154.505|487325.070,558178.0,48885.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ea5acd1a-a4a2-7df8-ffa7-9f3a3d029888,False,357.0,afval_cluster,118154.505|487325.070,"['118154.505', '487325.070', 'afval_cluster', '118154.505|487325.070']",118155.0,487325.0,['Rest:2'],['Rest:10 m3'],Fridtjof Nansenhof,E39a,E39,E,2,0,0,0,0,2,True,0.0
8,118213,488190,396397.0,118212.941~488190.276~afval_cluster~118212.941|488190.276,879825.0,69371.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4c55669f-4440-8f3d-f51b-b83aa776eac1,False,357.0,afval_cluster,118212.941|488190.276,"['118212.941', '488190.276', 'afval_cluster', '118212.941|488190.276']",118213.0,488190.0,"['Rest:3', 'Papier:1', 'Plastic:1']","['Rest:15 m3', 'Papier:5 m3', 'Plastic:5 m3']",Gulden Winckelstraat,E37c,E37,E,3,1,1,0,0,5,True,0.0
9,118215,484592,138437.0,118214.832~484591.519~afval_cluster~118214.832|484591.519,621789.0,60023.0,2020-04-01 13:57:12,2020-04-01 13:57:12,3aefbe90-dee5-a40d-8497-d7f73d9ca68c,False,357.0,afval_cluster,118214.832|484591.519,"['118214.832', '484591.519', 'afval_cluster', '118214.832|484591.519']",118215.0,484592.0,"['Rest:2', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:10 m3', 'Glas:3 m3', 'Papier:5 m3', 'Plastic:5 m3']",Abbenesstraat,K44c,K44,K,2,1,1,1,0,5,True,0.0
10,118225,487978,202256.0,118224.884~487977.705~afval_cluster~118224.884|487977.705,685567.0,76868.0,2020-04-01 13:57:12,2020-04-01 13:57:12,948def42-22fc-e6b2-ea7d-f442b4b10036,False,357.0,afval_cluster,118224.884|487977.705,"['118224.884', '487977.705', 'afval_cluster', '118224.884|487977.705']",118225.0,487978.0,['Rest:2'],['Rest:10 m3'],Gulden Winckelplantsoen,E37c,E37,E,2,0,0,0,0,2,True,0.0
11,118243,485126,222942.0,118242.683~485125.919~afval_cluster~118242.683|485125.919,706266.0,162675.0,2020-04-01 13:57:12,2020-04-01 13:57:12,843fff6f-a5ea-1565-ebb5-0f90d5ae942c,False,357.0,afval_cluster,118242.683|485125.919,"['118242.683', '485125.919', 'afval_cluster', '118242.683|485125.919']",118243.0,485126.0,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:5 m3', 'Plastic:4 m3']",Woestduinstraat,K44b,K44,K,1,1,1,1,0,4,True,0.0
12,118248,487183,390668.0,118248.024~487182.811~afval_cluster~118248.024|487182.811,874092.0,67595.0,2020-04-01 13:57:12,2020-04-01 13:57:12,01d9b1a6-de41-735e-773f-a9103263b0af,False,357.0,afval_cluster,118248.024|487182.811,"['118248.024', '487182.811', 'afval_cluster', '118248.024|487182.811']",118248.0,487183.0,"['Rest:1', 'Glas:1', 'Papier:1', 'Textiel:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Textiel:5 m3']",Orteliuskade,E41d,E41,E,1,0,1,1,1,4,True,0.0
13,118260,484667,7544.0,118259.991~484666.549~afval_cluster~118259.991|484666.549,490752.0,27841.0,2020-04-01 13:57:12,2020-04-01 13:57:12,7bc8be41-f69c-bfd6-3986-795fe366ef0c,False,357.0,afval_cluster,118259.991|484666.549,"['118259.991', '484666.549', 'afval_cluster', '118259.991|484666.549']",118260.0,484667.0,['Rest:1'],['Rest:5 m3'],Sassenheimstraat,K44c,K44,K,1,0,0,0,0,1,True,0.0
14,118260,487562,79263.0,118260.277~487561.913~afval_cluster~118260.277|487561.913,562512.0,66406.0,2020-04-01 13:57:12,2020-04-01 13:57:12,3fd9b7ce-4138-c978-1618-4ae4d24a2308,False,357.0,afval_cluster,118260.277|487561.913,"['118260.277', '487561.913', 'afval_cluster', '118260.277|487561.913']",118260.0,487562.0,['Rest:4'],['Rest:20 m3'],Hoofdweg,E38d,E38,E,4,0,0,0,0,4,True,0.0
15,118280,487294,241404.0,118280.292~487293.561~afval_cluster~118280.292|487293.561,724735.0,70351.0,2020-04-01 13:57:12,2020-04-01 13:57:12,17b94678-eb67-adc0-0c78-dee327029d4d,False,357.0,afval_cluster,118280.292|487293.561,"['118280.292', '487293.561', 'afval_cluster', '118280.292|487293.561']",118280.0,487294.0,"['Rest:1', 'Plastic:1']","['Rest:5 m3', 'Plastic:5 m3']",Orteliusstraat,E41c,E41,E,1,1,0,0,0,2,True,0.0
16,118286,488205,167020.0,118285.531~488205.394~afval_cluster~118285.531|488205.394,650311.0,129460.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a224fba9-41ec-0972-ec62-fdd4247737ba,False,357.0,afval_cluster,118285.531|488205.394,"['118285.531', '488205.394', 'afval_cluster', '118285.531|488205.394']",118286.0,488205.0,['Rest:2'],['Rest:10 m3'],Granidastraat,E37c,E37,E,2,0,0,0,0,2,True,0.0
17,118330,487994,5435.0,118330.290~487994.161~afval_cluster~118330.290|487994.161,488642.0,151138.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c4bf36b4-c4a2-02cb-2c49-d6bdbf2d9436,False,357.0,afval_cluster,118330.290|487994.161,"['118330.290', '487994.161', 'afval_cluster', '118330.290|487994.161']",118330.0,487994.0,['Rest:1'],['Rest:7 m3'],Baetostraat,E37c,E37,E,1,0,0,0,0,1,True,0.0
18,118348,486853,195045.0,118347.808~486853.088~afval_cluster~118347.808|486853.088,678353.0,144633.0,2020-04-01 13:57:12,2020-04-01 13:57:12,747da9f3-bb87-ea72-fe1a-8fbedc765dc0,False,357.0,afval_cluster,118347.808|486853.088,"['118347.808', '486853.088', 'afval_cluster', '118347.808|486853.088']",118348.0,486853.0,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:4 m3', 'Glas:3 m3', 'Papier:3 m3']",Orteliuskade,E42c,E42,E,1,0,1,1,0,3,True,0.0
19,118354,484717,370758.0,118354.397~484716.883~afval_cluster~118354.397|484716.883,854175.0,38257.0,2020-04-01 13:57:12,2020-04-01 13:57:12,6b953581-4b14-4509-0a78-a69660af5c77,False,357.0,afval_cluster,118354.397|484716.883,"['118354.397', '484716.883', 'afval_cluster', '118354.397|484716.883']",118354.0,484717.0,['Plastic:1'],['Plastic:4 m3'],Rietwijkerstraat,K44d,K44,K,0,1,0,0,0,1,True,0.0
20,118371,487345,203304.0,118370.646~487344.552~afval_cluster~118370.646|487344.552,686616.0,152424.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ed7f45d7-4fb3-0c4d-b6ef-a54d78f0ce73,False,357.0,afval_cluster,118370.646|487344.552,"['118370.646', '487344.552', 'afval_cluster', '118370.646|487344.552']",118371.0,487345.0,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:4 m3', 'Plastic:4 m3']",Jan van Galenstraat,E41b,E41,E,1,1,1,1,0,4,True,0.0
21,118405,485357,400147.0,118404.536~485356.542~afval_cluster~118404.536|485356.542,883582.0,96730.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ede87776-62f1-c22a-7511-2206fb75b41b,False,357.0,afval_cluster,118404.536|485356.542,"['118404.536', '485356.542', 'afval_cluster', '118404.536|485356.542']",118405.0,485357.0,['Rest:1'],['Rest:5 m3'],Theophile de Bockstraat,K44b,K44,K,1,0,0,0,0,1,True,0.0
