,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest
0,112740,487843,886520.0,86962.0,afval_cluster,112740.024|487843.078,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:3 m3', 'Papier:3 m3', 'Plastic:4 m3']",Raasdorperweg,F80b,F80,F,0,1,1,1,0,3,False
1,112973,485077,641281.0,2280.0,afval_cluster,112973.480|485077.400,['Rest:2'],['Rest:8 m3'],Schotse Hooglanden,F84b,F84,F,1,0,1,0,0,2,True
2,113012,484958,719542.0,131802.0,afval_cluster,113011.560|484957.980,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:3 m3']",Pyreneeën,F84b,F84,F,1,0,1,0,0,2,True
3,113044,485173,622599.0,159060.0,afval_cluster,113043.960|485172.926,['Rest:2'],['Rest:6 m3'],Ben Wyvis,F84b,F84,F,2,0,0,0,0,2,True
4,113049,487544,656393.0,121427.0,afval_cluster,113048.719|487543.976,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:3 m3', 'Papier:3 m3', 'Plastic:3 m3']",Osdorperweg,F80b,F80,F,0,1,1,1,0,3,False
5,113095,485088,677666.0,78008.0,afval_cluster,113095.022|485087.761,['Rest:2'],['Rest:8 m3'],La Meye,F84b,F84,F,2,0,0,0,0,2,True
6,113104,485015,944294.0,38974.0,afval_cluster,113103.780|485014.560,['Rest:2'],['Rest:8 m3'],Le Tourmalet,F84b,F84,F,1,0,0,1,0,2,True
7,113105,484894,908361.0,149012.0,afval_cluster,113105.048|484894.139,['Rest:2'],['Rest:8 m3'],Pyreneeën,F84b,F84,F,2,0,0,0,0,2,True
8,113129,485121,577347.0,111501.0,afval_cluster,113128.774|485120.766,['Papier:1'],['Papier:5 m3'],La Meye,F84b,F84,F,0,1,0,0,0,1,True
9,113141,485133,924129.0,33554.0,afval_cluster,113141.478|485133.325,"['Glas:1', 'Plastic:1']","['Glas:3 m3', 'Plastic:4 m3']",Simplon,F84b,F84,F,1,0,0,1,0,2,True
10,113176,485180,817990.0,108967.0,afval_cluster,113175.566|485179.983,['Rest:2'],['Rest:10 m3'],Ortler,F84b,F84,F,1,0,0,1,0,2,True
11,113192,484837,666132.0,63620.0,afval_cluster,113192.478|484837.346,['Rest:2'],['Rest:8 m3'],Pyreneeën,F84b,F84,F,2,0,0,0,0,2,True
12,113204,485258,833325.0,54949.0,afval_cluster,113204.437|485258.428,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:3 m3']",Akersingel,F84b,F84,F,1,0,1,0,0,2,True
13,113213,484941,851044.0,52.0,afval_cluster,113213.498|484941.461,['Rest:2'],['Rest:8 m3'],Le Tourmalet,F84b,F84,F,2,0,0,0,0,2,True
14,113224,485076,638315.0,97312.0,afval_cluster,113224.090|485076.352,['Rest:2'],['Rest:10 m3'],Brenner,F84b,F84,F,2,0,0,0,0,2,True
15,113275,485260,599794.0,156682.0,afval_cluster,113274.781|485260.492,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:3 m3']",Akersingel,F84b,F84,F,2,0,0,0,0,2,True
16,113299,484886,492896.0,72268.0,afval_cluster,113298.766|484885.517,['Rest:2'],['Rest:8 m3'],Le Tourmalet,F84b,F84,F,2,0,0,0,0,2,True
17,113304,485380,821649.0,56261.0,afval_cluster,113304.419|485380.335,['Rest:2'],['Rest:8 m3'],Mondlanestraat,F84a,F84,F,1,0,0,1,0,2,True
18,113306,484761,494002.0,56781.0,afval_cluster,113305.944|484761.246,['Rest:2'],['Rest:8 m3'],Monte Viso,F84b,F84,F,1,0,1,0,0,2,True
19,113317,485273,531522.0,42409.0,afval_cluster,113317.191|485273.069,['Rest:2'],['Rest:8 m3'],Sandinostraat,F84a,F84,F,2,0,0,0,0,2,True
20,113334,485004,630689.0,89044.0,afval_cluster,113334.394|485003.652,['Rest:2'],['Rest:8 m3'],Brenner,F84b,F84,F,0,1,1,0,0,2,True
21,113336,485074,604221.0,63371.0,afval_cluster,113335.758|485074.057,['Rest:2'],['Rest:8 m3'],Ortler,F84b,F84,F,2,0,0,0,0,2,True
22,113343,485216,539843.0,44898.0,afval_cluster,113342.754|485215.511,"['Rest:2', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:8 m3', 'Glas:3 m3', 'Papier:5 m3', 'Plastic:4 m3']",Akersingel,F84b,F84,F,2,1,1,1,0,5,True
23,113357,484969,961608.0,15304.0,afval_cluster,113356.637|484969.360,['Rest:2'],['Rest:8 m3'],Adamello,F84b,F84,F,2,0,0,0,0,2,True
24,113374,485237,694983.0,99943.0,afval_cluster,113373.895|485236.718,['Rest:2'],['Rest:8 m3'],Anielewiczsingel,F84a,F84,F,2,0,0,0,0,2,True
25,113382,485497,908139.0,82324.0,afval_cluster,113382.040|485496.552,['Rest:2'],['Rest:8 m3'],Baldwinstraat,F84a,F84,F,2,0,0,0,0,2,True
26,113399,485411,740867.0,35579.0,afval_cluster,113399.055|485410.843,['Rest:1'],['Rest:5 m3'],M. Gandhilaan,F84a,F84,F,1,0,0,0,0,1,True
27,113408,485405,627682.0,38271.0,afval_cluster,113407.612|485405.185,['Rest:1'],['Rest:3 m3'],M. Gandhilaan,F84a,F84,F,0,1,0,0,0,1,True
28,113432,484931,645671.0,26497.0,afval_cluster,113432.147|484930.673,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",Brenner,F84b,F84,F,2,0,1,0,0,3,True
29,113437,485151,798015.0,136384.0,afval_cluster,113437.470|485150.927,['Rest:2'],['Rest:8 m3'],Akersingel,F84b,F84,F,2,0,0,0,0,2,True
