,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
0,117550,487679,878246.0,93367.0,afval_cluster,117550.005|487678.654,['Rest:1'],['Rest:5 m3'],Willem Augustinstraat,E39b,E39,E,1,0,0,0,0,1,True,0.0
1,117606,487800,654336.0,62.0,afval_cluster,117606.462|487800.441,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3']",Leeuwendalersweg,E39c,E39,E,1,0,1,1,0,3,True,0.0
2,117670,488040,733363.0,68394.0,afval_cluster,117669.642|488040.167,"['Rest:2', 'Plastic:1']","['Rest:10 m3', 'Plastic:4 m3']",Bos en Lommerweg,E39d,E39,E,2,1,0,0,0,3,True,0.0
3,117694,487564,780153.0,30817.0,afval_cluster,117693.652|487564.217,['Rest:1'],['Rest:5 m3'],Fanny Blankers-Koenlaan,E39b,E39,E,1,0,0,0,0,1,True,0.0
4,117710,488361,511624.0,45458.0,afval_cluster,117709.587|488361.498,"['Rest:1', 'Glas:3', 'Papier:3']","['Rest:5 m3', 'Glas:15 m3', 'Papier:15 m3']",Wiltzanghlaan,E39d,E39,E,1,0,3,3,0,7,True,0.0
5,117771,488517,645036.0,25692.0,afval_cluster,117771.470|488517.294,['Rest:1'],['Rest:5 m3'],Majoor Fransweg,E39d,E39,E,1,0,0,0,0,1,True,0.0
6,117774,487556,769056.0,37337.0,afval_cluster,117773.536|487555.635,['Rest:1'],['Rest:5 m3'],Fanny Blankers-Koenlaan,E39b,E39,E,1,0,0,0,0,1,True,0.0
7,117825,487616,882682.0,7419.0,afval_cluster,117824.582|487615.542,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:5 m3']",Willem Augustinstraat,E39b,E39,E,1,0,1,0,0,2,True,0.0
8,117844,488528,872736.0,8554.0,afval_cluster,117844.152|488528.174,['Rest:1'],['Rest:5 m3'],De Roos van Dekamaweg,E39d,E39,E,1,0,0,0,0,1,True,0.0
9,117850,488400,743608.0,127287.0,afval_cluster,117849.979|488399.575,['Rest:2'],['Rest:10 m3'],Lauernessestraat,E39d,E39,E,2,0,0,0,0,2,True,0.0
10,117867,487611,890231.0,132548.0,afval_cluster,117866.709|487610.668,['Rest:1'],['Rest:5 m3'],Erasmusgracht,E39b,E39,E,1,0,0,0,0,1,True,0.0
11,117899,487687,676871.0,126938.0,afval_cluster,117898.610|487687.237,['Rest:1'],['Rest:5 m3'],De Leeuw van Vlaanderenstraat,E39c,E39,E,1,0,0,0,0,1,True,0.0
12,117921,488476,623572.0,485.0,afval_cluster,117920.812|488475.779,['Rest:1'],['Rest:5 m3'],Ferdinand Huyckstraat,E39d,E39,E,1,0,0,0,0,1,True,0.0
13,117922,488030,633320.0,68166.0,afval_cluster,117921.895|488030.376,"['Rest:3', 'Glas:1']","['Rest:15 m3', 'Glas:5 m3']",Vrouwengelukhof,E39d,E39,E,3,0,0,1,0,4,True,0.0
14,117922,488416,495862.0,77849.0,afval_cluster,117922.346|488416.294,['Rest:1'],['Rest:5 m3'],Ferdinand Huyckstraat,E39d,E39,E,1,0,0,0,0,1,True,0.0
15,117928,488326,916624.0,13289.0,afval_cluster,117927.951|488325.779,['Rest:2'],['Rest:10 m3'],Wiltzanghlaan,E39d,E39,E,2,0,0,0,0,2,True,0.0
16,117930,488357,870707.0,28064.0,afval_cluster,117929.953|488356.936,['Brood:1'],['Brood:0 m3'],Wiltzanghlaan,E39d,E39,E,0,0,0,0,0,0,True,0.0
17,117931,488208,754849.0,140720.0,afval_cluster,117930.825|488208.124,['Rest:1'],['Rest:5 m3'],De Schaapherderstraat,E39d,E39,E,1,0,0,0,0,1,True,0.0
18,117936,488116,804323.0,54371.0,afval_cluster,117936.363|488116.143,['Brood:4'],['Brood:0 m3'],Piet Paaltjenspad,E39d,E39,E,0,0,0,0,0,0,True,0.0
19,117937,488131,907889.0,141588.0,afval_cluster,117936.566|488131.160,['Rest:2'],['Rest:10 m3'],De Schaapherderstraat,E39d,E39,E,2,0,0,0,0,2,True,0.0
20,117944,487333,561122.0,32697.0,afval_cluster,117943.813|487332.743,['Rest:1'],['Rest:5 m3'],James Rosskade,E39a,E39,E,1,0,0,0,0,1,True,0.0
21,117960,487509,549347.0,112019.0,afval_cluster,117959.929|487508.723,['Rest:1'],['Rest:5 m3'],James Rosskade,E39a,E39,E,1,0,0,0,0,1,True,0.0
22,117975,487560,877227.0,40954.0,afval_cluster,117974.574|487560.243,['Rest:1'],['Rest:5 m3'],James Rosskade,E39a,E39,E,1,0,0,0,0,1,True,0.0
23,117980,488095,824205.0,29449.0,afval_cluster,117979.925|488095.169,['Rest:3'],['Rest:15 m3'],Vrouwengelukhof,E39d,E39,E,3,0,0,0,0,3,True,0.0
24,117992,488104,567832.0,108285.0,afval_cluster,117992.912|488103.866,"['Papier:1', 'Plastic:1']","['Papier:5 m3', 'Plastic:5 m3']",Piet Paaltjenspad,E39d,E39,E,0,1,1,0,0,2,True,0.0
25,118003,488273,840134.0,579.0,afval_cluster,118003.265|488273.273,['Rest:1'],['Rest:5 m3'],Sinjeur Semeynsstraat,E39d,E39,E,1,0,0,0,0,1,True,0.0
26,118034,487448,898754.0,64542.0,afval_cluster,118034.019|487447.616,['Rest:1'],['Rest:5 m3'],Erik de Roodestraat,E39a,E39,E,1,0,0,0,0,1,True,0.0
27,118069,487500,828523.0,27678.0,afval_cluster,118069.140|487499.582,['Rest:2'],['Rest:10 m3'],Amundsenweg,E39a,E39,E,2,0,0,0,0,2,True,0.0
28,118119,483706,910020.0,161287.0,afval_cluster,118119.080|483705.839,"['Rest:1', 'Glas:1']","['Rest:5 m3', 'Glas:5 m3']",Valschermkade,K44f,K44,K,1,0,0,1,0,2,True,0.0
29,118122,483858,778750.0,95002.0,afval_cluster,118121.817|483858.208,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Valschermkade,K44f,K44,K,1,1,1,1,0,4,True,0.0
30,118123,484499,821050.0,33479.0,afval_cluster,118122.857|484499.436,['Rest:6'],['Rest:36 m3'],Westlandgracht,K44c,K44,K,6,0,0,0,0,6,True,0.0
31,118123,484662,597632.0,109521.0,afval_cluster,118122.740|484661.589,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:5 m3']",Sassenheimstraat,K44c,K44,K,1,0,1,1,0,3,True,0.0
32,118123,484776,715848.0,61093.0,afval_cluster,118123.169|484776.176,['Rest:1'],['Rest:5 m3'],Westlandgracht,K44c,K44,K,1,0,0,0,0,1,True,0.0
33,118132,487515,560803.0,8244.0,afval_cluster,118131.677|487515.082,['Rest:1'],['Rest:5 m3'],Robert Scottstraat,E38d,E38,E,1,0,0,0,0,1,True,0.0
34,118133,488332,624310.0,12576.0,afval_cluster,118133.416|488332.073,"['Glas:2', 'Papier:2']","['Glas:8 m3', 'Papier:9 m3']",Jephtastraat,E37c,E37,E,0,0,2,2,0,4,True,0.0
35,118137,488213,560282.0,54084.0,afval_cluster,118136.653|488213.002,"['Rest:1', 'Textiel:1']","['Rest:5 m3', 'Textiel:3 m3']",Jephtastraat,E37c,E37,E,1,0,0,0,1,2,True,0.0
