,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
0,124549,481681,863418.0,156928.0,afval_cluster,124549.098|481681.498,['Rest:1'],['Rest:5 m3'],Alexander Dumaslaan,T93a,T93,T,1,0,0,0,0,1,True,0.0
1,124562,481606,594399.0,24108.0,afval_cluster,124562.398|481605.919,"['Glas:1', 'Papier:1']","['Glas:5 m3', 'Papier:5 m3']",Alexander Dumaslaan,T93a,T93,T,0,0,1,1,0,2,True,0.0
2,124599,481768,625308.0,150701.0,afval_cluster,124599.009|481768.428,['Rest:1'],['Rest:5 m3'],Alexander Dumaslaan,T93a,T93,T,1,0,0,0,0,1,True,0.0
3,124614,481406,551412.0,35258.0,afval_cluster,124614.479|481405.698,['Rest:1'],['Rest:5 m3'],Boris Pasternakstraat,T93a,T93,T,1,0,0,0,0,1,True,0.0
4,124626,481633,579957.0,139758.0,afval_cluster,124625.600|481632.678,"['Rest:1', 'Glas:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Plastic:5 m3']",Agatha Christiesingel,T93a,T93,T,1,1,0,1,0,3,True,0.0
5,124632,481626,960365.0,41698.0,afval_cluster,124631.938|481626.112,"['Plastic:1', 'Textiel:1']","['Plastic:4 m3', 'Textiel:3 m3']",Agatha Christiesingel,T93a,T93,T,0,1,0,0,1,2,True,0.0
6,124656,481732,829241.0,124768.0,afval_cluster,124656.441|481732.340,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1', 'Textiel:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3', 'Textiel:3 m3']",Albert Camuslaan,T93a,T93,T,1,1,1,1,1,5,True,0.0
7,124660,481325,918579.0,29743.0,afval_cluster,124659.585|481324.896,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Boris Pasternakstraat,T93a,T93,T,0,1,1,1,0,3,True,0.0
8,124670,481808,492139.0,852.0,afval_cluster,124670.091|481808.144,['Rest:1'],['Rest:5 m3'],Alexander Dumaslaan,T93a,T93,T,1,0,0,0,0,1,True,0.0
9,124694,481350,760068.0,112620.0,afval_cluster,124693.739|481350.393,['Rest:1'],['Rest:5 m3'],Alfred Döblinstraat,T93a,T93,T,1,0,0,0,0,1,True,0.0
10,124698,481580,899079.0,111666.0,afval_cluster,124698.035|481580.074,['Rest:1'],['Rest:5 m3'],Andersensingel,T93a,T93,T,1,0,0,0,0,1,True,0.0
11,124742,481697,935859.0,52582.0,afval_cluster,124741.603|481696.695,['Rest:1'],['Rest:5 m3'],Agatha Christiesingel,T93a,T93,T,1,0,0,0,0,1,True,0.0
12,124744,481932,889637.0,17838.0,afval_cluster,124744.260|481931.953,['Plastic:1'],['Plastic:4 m3'],Dolingadreef,T93a,T93,T,0,1,0,0,0,1,True,0.0
13,124746,481947,541868.0,25061.0,afval_cluster,124745.626|481946.887,['Rest:1'],['Rest:5 m3'],Dolingadreef,T93b,T93,T,1,0,0,0,0,1,True,0.0
14,124753,482013,864719.0,90988.0,afval_cluster,124752.685|482013.443,['Rest:1'],['Rest:5 m3'],Dalsteindreef,T93b,T93,T,1,0,0,0,0,1,True,0.0
15,124758,481768,832692.0,99002.0,afval_cluster,124757.692|481768.453,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Anatole Francesingel,T93a,T93,T,1,1,1,1,0,4,True,0.0
16,124781,481317,563448.0,48164.0,afval_cluster,124781.476|481317.080,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Boeninlaan,T93a,T93,T,0,1,1,1,0,3,True,0.0
