,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
0,118444,485621,937569.0,38491.0,afval_cluster,118444.064|485620.786,['Plastic:1'],['Plastic:4 m3'],Surinameplein,K44a,K44,K,0,1,0,0,0,1,True,0.0
1,118466,485621,516188.0,99310.0,afval_cluster,118465.512|485620.976,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:14 m3', 'Glas:5 m3', 'Papier:5 m3']",Surinameplein,K44a,K44,K,2,0,1,1,0,4,True,0.0
2,118489,485291,890016.0,94356.0,afval_cluster,118489.424|485290.547,['Rest:1'],['Rest:5 m3'],Legmeerstraat,K44e,K44,K,1,0,0,0,0,1,True,0.0
3,118532,485492,652466.0,23059.0,afval_cluster,118531.920|485492.089,['Rest:1'],['Rest:5 m3'],Wijsmullerstraat,K44a,K44,K,1,0,0,0,0,1,True,0.0
4,118568,484867,601170.0,63621.0,afval_cluster,118567.691|484866.762,['Rest:2'],['Rest:8 m3'],Schinkelkade,K45b,K45,K,2,0,0,0,0,2,True,0.0
5,118887,484928,816790.0,84949.0,afval_cluster,118887.306|484928.437,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:10 m3', 'Glas:3 m3', 'Papier:5 m3']",Valeriusstraat,K46b,K46,K,2,0,1,1,0,4,False,0.0
6,118994,484743,851904.0,45522.0,afval_cluster,118994.082|484742.666,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:5 m3', 'Papier:5 m3', 'Plastic:4 m3']",Bernard Kochstraat,K48a,K48,K,0,1,1,1,0,3,True,0.0
7,119322,484527,829623.0,71461.0,afval_cluster,119321.679|484527.365,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1', 'Textiel:1']","['Rest:7 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:4 m3', 'Textiel:3 m3']",Marathonweg,K48b,K48,K,1,1,1,1,1,5,True,0.0
8,119461,485098,546751.0,17807.0,afval_cluster,119461.279|485097.597,['Rest:1'],['Rest:7 m3'],Lassusstraat,K46a,K46,K,1,0,0,0,0,1,True,0.0
9,119479,484434,813666.0,24856.0,afval_cluster,119479.121|484433.968,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:10 m3', 'Glas:3 m3', 'Papier:5 m3']",Olympiaplein,K48b,K48,K,2,0,1,1,0,4,True,0.0
10,119538,482803,668509.0,137350.0,afval_cluster,119537.572|482802.856,"['Rest:3', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:12 m3', 'Glas:3 m3', 'Papier:4 m3', 'Plastic:4 m3']",Arent Janszoon Ernststraat,K90i,K90,K,3,1,1,1,0,6,True,0.0
11,119726,482613,487797.0,165198.0,afval_cluster,119726.375|482612.888,['Rest:3'],['Rest:12 m3'],Onstein,K90a,K90,K,3,0,0,0,0,3,True,0.0
12,119888,482837,864064.0,47167.0,afval_cluster,119887.503|482836.724,['Rest:3'],['Rest:12 m3'],Wijenburg,K90a,K90,K,3,0,0,0,0,3,True,0.0
13,120137,482555,845849.0,39562.0,afval_cluster,120136.897|482554.962,['Rest:2'],['Rest:8 m3'],Willem van Weldammelaan,K90a,K90,K,2,0,0,0,0,2,True,0.0
14,120166,481957,578389.0,112264.0,afval_cluster,120166.055|481956.624,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:8 m3', 'Glas:3 m3', 'Papier:4 m3']",Cortenbach,K90c,K90,K,2,0,1,1,0,4,True,0.0
15,120188,485813,698757.0,155319.0,afval_cluster,120188.430|485812.519,['Rest:1'],['Rest:7 m3'],Pieter Cornelisz. Hooftstraat,K47c,K47,K,1,0,0,0,0,1,True,0.0
16,120217,484156,825842.0,117844.0,afval_cluster,120217.227|484155.844,"['Rest:3', 'Glas:1', 'Papier:1']","['Rest:15 m3', 'Glas:3 m3', 'Papier:5 m3']",Cornelis Dopperkade,K59a,K59,K,3,0,1,1,0,5,True,0.0
17,120338,482322,809374.0,102882.0,afval_cluster,120338.031|482322.473,"['Rest:3', 'Papier:1']","['Rest:12 m3', 'Papier:4 m3']",Van Nijenrodeweg,K90c,K90,K,3,0,1,0,0,4,True,0.0
18,120658,484202,815108.0,92830.0,afval_cluster,120657.553|484202.306,"['Glas:1', 'Papier:1']","['Glas:5 m3', 'Papier:5 m3']",Diepenbrockstraat,K49a,K49,K,0,0,1,1,0,2,False,0.0
