,avg_distance,penalties,best,amount of modifications
0,249.6004611676881,308.1859662117452,308.1859662117452,
1,253.18618528860728,311.3434284325889,308.1859662117452,16.0
2,252.14443008666706,303.5809936724566,308.1859662117452,15.0
3,251.36419258661357,303.1233706123124,303.5809936724566,11.0
4,252.41344028092206,307.1022242241415,303.1233706123124,15.0
5,252.6491702064949,305.9113053454049,303.1233706123124,17.0
6,251.79348904326827,304.6545824409807,303.1233706123124,17.0
7,250.90390525838805,304.4357474676479,303.1233706123124,18.0
8,251.36449540351498,303.1234052796957,303.1233706123124,5.0
9,251.2746722973012,307.6835555807155,303.1233706123124,11.0
10,251.38819090000982,302.1477791053415,303.1233706123124,4.0
11,249.88294991708398,303.7597696998512,302.1477791053415,14.0
12,252.3033749420597,304.89379511773427,302.1477791053415,9.0
13,254.81542564026088,300.93494712691194,302.1477791053415,13.0
14,254.5650697748825,299.93625574617613,300.93494712691194,16.0
15,253.9724796331829,301.77036081025216,299.93625574617613,10.0
16,255.91882588152464,296.3927818610227,299.93625574617613,12.0
17,252.07166418599869,294.0168154892315,296.3927818610227,15.0
18,251.67151875950003,292.1234988838824,294.0168154892315,17.0
19,252.09421652192464,295.80692641891613,292.1234988838824,16.0
20,253.8443338654852,292.08553087925264,292.1234988838824,8.0
21,254.61652018635436,294.2654401430284,292.08553087925264,9.0
22,253.60006335240877,290.6897777479228,292.08553087925264,13.0
23,252.59911207632973,290.9489888810813,290.6897777479228,19.0
24,251.81543756787482,290.4810639700715,290.6897777479228,11.0
25,252.47795991766844,299.0260313464784,290.4810639700715,8.0
26,249.48499756484938,286.97058707783884,290.4810639700715,12.0
27,250.29087151296994,287.96777278551644,286.97058707783884,14.0
28,249.69763035418993,289.5322096854202,286.97058707783884,11.0
29,250.3665970860207,288.48145806638286,286.97058707783884,15.0
30,249.08077125498608,286.82578771030546,286.97058707783884,7.0
31,249.44738670570575,287.4476437518085,286.82578771030546,21.0
32,249.1994885618613,292.8158233227233,286.82578771030546,12.0
33,249.5574778267242,288.50282011905256,286.82578771030546,12.0
34,248.55510378205446,284.967168374938,286.82578771030546,9.0
35,248.3760862183084,285.23709363117877,284.967168374938,11.0
36,247.76805947047092,283.6877786204331,284.967168374938,13.0
37,244.40292742477817,284.1264508694395,283.6877786204331,11.0
38,247.5420570789173,283.26197819887585,283.6877786204331,9.0
39,248.5716092259671,287.6272278889072,283.26197819887585,8.0
40,247.33175469597273,282.646358273411,283.26197819887585,16.0
41,247.76395926836693,281.88172543185385,282.646358273411,13.0
42,246.36464901550335,289.2179815770994,281.88172543185385,6.0
43,248.25008313802576,286.04622863459787,281.88172543185385,12.0
44,248.19345312237482,283.97203905281424,281.88172543185385,18.0
45,248.16547243424873,288.61732351847263,281.88172543185385,13.0
46,250.40647566856336,281.10968230645756,281.88172543185385,18.0
