,avg_distance,penalties,best,amount of modifications
0,165.8768689420129,231.42587110495217,231.42587110495217,
1,166.2086271221806,232.14482359451083,231.42587110495217,25.0
2,165.00799419113594,229.26182318070715,231.42587110495217,35.0
3,164.12864641665203,226.94924015050907,229.26182318070715,30.0
4,164.55947748922375,225.2970344804358,226.94924015050907,41.0
5,164.36996414637835,224.1873216217257,225.2970344804358,25.0
6,162.32523661435704,220.6022489943607,224.1873216217257,36.0
7,162.5056869951802,221.24545937024848,220.6022489943607,30.0
8,162.4363329834378,218.84242965336725,220.6022489943607,36.0
9,162.45480651461372,217.74197675962816,218.84242965336725,36.0
10,161.56046858142716,218.89418309371212,217.74197675962816,34.0
11,162.40155431079216,217.10129598514155,217.74197675962816,24.0
12,161.8211744032415,215.19520920184,217.10129598514155,37.0
13,161.46936585086962,214.822427343765,215.19520920184,27.0
14,160.96287527322198,214.9889868063976,214.822427343765,27.0
15,162.71007032054044,217.17580530053698,214.822427343765,42.0
16,160.99908118084574,215.76290847239065,214.822427343765,36.0
17,161.736649591134,214.3850848393864,214.822427343765,32.0
18,160.14713032284158,213.38136280963104,214.3850848393864,32.0
19,161.25216458373524,213.1742651134592,213.38136280963104,30.0
20,161.38476682548537,212.96567873433798,213.1742651134592,29.0
21,161.93733137930312,212.89664929653367,212.96567873433798,30.0
22,163.5928394739806,215.74756766172027,212.89664929653367,36.0
23,162.5779354047446,212.67107191523758,212.89664929653367,42.0
24,162.98943655963942,215.2212775083242,212.67107191523758,18.0
25,162.1624567739838,212.44927495813846,212.67107191523758,27.0
26,162.63708563450732,214.01870724830147,212.44927495813846,29.0
27,162.77124736321602,215.93830134534323,212.44927495813846,35.0
28,160.9485388176876,211.13398467001562,212.44927495813846,35.0
29,162.25474569887325,209.53054108204861,211.13398467001562,39.0
30,162.3552089002053,209.95246727101258,209.53054108204861,27.0
31,161.41170591,209.35141674846506,209.53054108204861,32.0
32,162.20375819114759,211.9450547760648,209.35141674846506,26.0
33,162.5030583310971,210.5030118078411,209.35141674846506,39.0
34,161.04323117687915,206.70936332929153,209.35141674846506,39.0
35,161.02533231034874,206.51292502453953,206.70936332929153,50.0
36,161.154536235318,207.5142909425102,206.51292502453953,32.0
37,161.460366602894,205.05637640741384,206.51292502453953,34.0
38,161.8386971700422,207.10823045980328,205.05637640741384,34.0
39,162.85166531050754,208.4844820139731,205.05637640741384,31.0
40,161.8668587714803,207.45761904074524,205.05637640741384,34.0
41,161.39078857474126,207.02325462401603,205.05637640741384,40.0
42,161.09984397057787,204.76847013876858,205.05637640741384,31.0
