,s1_afv_nodes,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,uses_container,aantal_per_fractie,volume_per_fractie,street_name,totaal,glas,papier,plastic,rest,textiel
0,483494,121815,490815,288.0,121814.966~490814.811~afval_cluster~121813.172|490814.873,91163.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ea822bb4-51b1-e17c-4db1-6e6a4d6c0cdc,False,357.0,afval_cluster,121813.172|490814.873,True,['Rest:1'],['Rest:5 m3'],Krasseurstraat,1,0.0,0.0,0.0,1.0,0.0
1,483617,119304,482374,412.0,119303.791~482374.368~afval_cluster~119303.791|482374.368,944.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f54c2ce1-0026-50a9-48af-e4af37ad1e54,False,357.0,afval_cluster,119303.791|482374.368,True,"['Rest:3', 'Glas:1', 'Papier:1']","['Rest:12 m3', 'Glas:3 m3', 'Papier:4 m3']",Egelenburg,5,0.0,0.0,0.0,5.0,0.0
2,483837,124925,481259,633.0,124924.987~481258.754~afval_cluster~124924.425|481257.636,58065.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f526bde6-616a-f305-8bd6-05a3d2ce1d38,False,357.0,afval_cluster,124924.425|481257.636,True,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Barbusselaan,4,1.0,0.0,1.0,2.0,0.0
3,483949,115010,486153,744.0,115009.737~486152.616~afval_cluster~115009.737|486152.616,28131.0,2020-04-01 13:57:12,2020-04-01 13:57:12,172d7a41-0477-e6b0-048d-a03d80bf0fc1,False,357.0,afval_cluster,115009.737|486152.616,True,"['Rest:3', 'Glas:1', 'Papier:1']","['Rest:15 m3', 'Glas:3 m3', 'Papier:3 m3']",Osdorper Ban,5,0.0,1.0,0.0,4.0,0.0
4,483955,119333,485987,750.0,119333.061~485987.131~afval_cluster~119333.061|485987.131,707.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a92c2d2f-e6f7-e79f-be64-d737be1cf48e,False,357.0,afval_cluster,119333.061|485987.131,True,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:5 m3']",Staringplein,2,1.0,0.0,0.0,1.0,0.0
5,484016,125774,481404,811.0,125773.903~481403.815~afval_cluster~125773.903|481403.815,158777.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a4778748-7381-f3ac-3706-8b1bb2032ce6,False,357.0,afval_cluster,125773.903|481403.815,False,['Papier:1'],['Papier:4 m3'],Janusz Korczakstraat,1,0.0,0.0,0.0,0.0,1.0
6,484026,121403,491108,821.0,121402.549~491108.106~afval_cluster~121402.549|491108.106,126946.0,2020-04-01 13:57:12,2020-04-01 13:57:12,36613ff1-b651-c796-f159-f4252c4e04da,False,357.0,afval_cluster,121402.549|491108.106,True,['Rest:1'],['Rest:5 m3'],Gutserstraat,1,0.0,0.0,0.0,1.0,0.0
7,484037,114067,484803,832.0,114067.470~484802.906~afval_cluster~114067.470|484802.906,4517.0,2020-04-01 13:57:12,2020-04-01 13:57:12,57844841-bcf9-6247-57c6-f63b715db69e,False,357.0,afval_cluster,114067.470|484802.906,True,['Rest:3'],['Rest:15 m3'],Pieter Calandlaan,3,1.0,2.0,0.0,0.0,0.0
8,484044,120478,489316,839.0,120477.748~489316.063~afval_cluster~120477.748|489316.063,136315.0,2020-04-01 13:57:12,2020-04-01 13:57:12,e8ccfa99-1fbf-ee81-d90c-3c59c801d551,False,357.0,afval_cluster,120477.748|489316.063,True,['Rest:1'],['Rest:5 m3'],Nova Zemblastraat,1,0.0,0.0,0.0,1.0,0.0
9,484063,118138,488106,858.0,118138.255~488105.933~afval_cluster~118138.245|488106.458,134847.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f1ca6a80-bc8f-e70c-6219-1401f95a815d,False,357.0,afval_cluster,118138.245|488106.458,True,"['Rest:2', 'Glas:2', 'Papier:2']","['Rest:10 m3', 'Glas:8 m3', 'Papier:9 m3']",Leeuwendalerspad,6,0.0,2.0,1.0,3.0,0.0
