,Average Distance,Penalties,Score
0,178.95711464290744,130.64671474499488,309.60382938790235
1,180.5992662057483,131.9416450825661,312.5409112883144
2,178.04734502599425,129.39891467679865,307.4462597027929
3,177.51052443711654,128.89363298748108,306.40415742459766
4,177.9709981436827,129.8566656924351,307.8276638361178
5,179.15462580726484,130.57784124896486,309.73246705622967
6,180.2704291065647,131.659610521701,311.9300396282657
7,179.92209467352535,131.2180261191485,311.1401207926739
8,179.2061130692025,130.53225126406545,309.73836433326795
9,179.73318633199744,131.22269535291537,310.9558816849128
10,179.73168093771318,131.0876418822154,310.8193228199286
11,179.6398252885645,130.82754450776946,310.46736979633397
12,178.53392432509213,129.96173034731353,308.49565467240564
13,177.6847536489149,129.19602921720494,306.88078286611983
14,178.78015964333292,130.02671790637635,308.80687754970927
15,177.64086761102917,129.25190641531492,306.8927740263441
16,179.12130398884233,130.66657435822492,309.78787834706725
17,179.4286106420986,131.01431791611867,310.44292855821726
18,180.08582748626645,131.5261155584782,311.61194304474463
19,178.20218196423104,129.61077674022113,307.81295870445217
20,178.44709629675816,129.91699741341515,308.3640937101733
21,179.25160022677068,130.72327867407083,309.97487890084153
22,180.6054912175888,131.7439617029568,312.34945292054556
23,178.00105665153254,129.4704221442837,307.4714787958162
24,181.29128020625427,132.34492759023817,313.63620779649244
25,178.2969963392425,129.72051553412246,308.0175118733649
26,179.09592547068016,130.5910392566613,309.68696472734143
27,178.69340591712958,130.1411752058064,308.834581122936
28,178.24751388491194,129.59978034974912,307.84729423466104
29,177.65716343477362,129.23274105411855,306.88990448889217
30,178.22395202458983,129.69722576355397,307.92117778814384
31,180.6634373340438,132.0830627307711,312.7465000648149
32,177.36499322190653,128.84939090067707,306.2143841225836
33,180.30118558174806,131.75718897169858,312.05837455344664
34,179.72758728122864,131.01167878610744,310.7392660673361
35,178.08972730801094,129.72492441911442,307.81465172712535
36,181.49275851962508,132.59635656388522,314.0891150835103
37,179.81834131590836,131.17468048614154,310.9930218020499
38,181.03913446829836,132.5212621754591,313.5603966437575
39,177.78677831621494,129.32068589799795,307.1074642142129
40,180.14380164427138,131.4580793316771,311.60188097594846
41,181.62815089802297,132.577328881095,314.205479779118
42,177.46129049429985,128.96738632665986,306.4286768209597
43,179.1968010132838,130.5447099079351,309.7415109212189
44,177.31858843776953,128.90991938233716,306.2285078201067
45,180.67250800969578,132.00669782746357,312.6792058371593
46,179.08181391155827,130.5718310585026,309.6536449700609
47,182.12888349379,133.48817857664764,315.61706207043767
48,180.20664384021438,131.40592646500073,311.6125703052151
49,179.94220844539362,131.3908970480783,311.3331054934719
50,176.70455197458466,128.3233182911978,305.02787026578244
51,177.66589928801977,129.16148668712552,306.82738597514526
52,179.00171666780102,130.345085220907,309.346801888708
53,176.97739035151324,128.2807815334405,305.25817188495375
54,179.4624337781786,130.69209650250863,310.15453028068725
55,178.07693610442305,129.6389951288421,307.71593123326517
56,180.0809324790084,131.24923045447903,311.33016293348743
57,179.79688251762107,131.0749394856057,310.8718220032268
58,177.60048120289377,128.94303916410928,306.54352036700305
59,182.69356436147993,133.71091117930732,316.40447554078725
60,180.31041815842963,131.67500283988502,311.9854209983147
61,178.60989737183232,130.10683543767354,308.71673280950586
62,180.25443574437872,131.59311213892542,311.8475478833042
63,178.63630927386615,129.8470975254518,308.48340679931795
64,180.4484172471225,131.82762807735398,312.2760453244765
65,178.7818036135282,130.29121864192118,309.07302225544936
66,179.11063235006037,130.67257588289735,309.7832082329577
67,180.86462251713368,132.0430330800331,312.9076555971668
68,180.54488113930316,131.3029975254518,311.84787866475494
69,178.00136877298803,128.85101591407278,306.8523846870608
70,178.98764899137964,130.57236956013443,309.5600185515141
71,181.28640843238728,132.65829052072675,313.944698953114
72,179.48148701577253,131.27942607043693,310.7609130862095
73,180.20979388207022,131.63790555799113,311.8476994400613
