,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_nodes,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal
0,124549,481681,379997.0,124549.098~481681.498~afval_cluster~124549.098|481681.498,863418.0,156928.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d9931a77-e662-edc7-6162-61417468c6c3,False,357.0,afval_cluster,124549.098|481681.498,['Rest:1'],['Rest:5 m3'],Alexander Dumaslaan,T93a,T93,T,1,0,0,0,0,1
1,124562,481606,111134.0,124562.398~481605.919~afval_cluster~124562.398|481605.919,594399.0,24108.0,2020-04-01 13:57:12,2020-04-01 13:57:12,9d7cb9a4-7162-7e0c-3134-af6af4d02d94,False,357.0,afval_cluster,124562.398|481605.919,"['Glas:1', 'Papier:1']","['Glas:5 m3', 'Papier:5 m3']",Alexander Dumaslaan,T93a,T93,T,0,0,1,1,0,2
2,124599,481768,142027.0,124599.009~481768.428~afval_cluster~124599.009|481768.428,625308.0,150701.0,2020-04-01 13:57:12,2020-04-01 13:57:12,76122c18-ca79-cd24-7673-9ca14c239511,False,357.0,afval_cluster,124599.009|481768.428,['Rest:1'],['Rest:5 m3'],Alexander Dumaslaan,T93a,T93,T,1,0,0,0,0,1
3,124610,481531,93235.0,124610.194~481531.108~afval_cluster~124610.194|481531.108,576491.0,86904.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d2c70997-4c38-7017-8f4d-979db56864cb,False,357.0,afval_cluster,124610.194|481531.108,['Rest:1'],['Rest:5 m3'],Andersensingel,T93a,T93,T,1,0,0,0,0,1
4,124614,481406,68169.0,124614.479~481405.698~afval_cluster~124614.479|481405.698,551412.0,35258.0,2020-04-01 13:57:12,2020-04-01 13:57:12,7fee9359-e64e-8707-1015-0c69c9f0f49e,False,357.0,afval_cluster,124614.479|481405.698,['Rest:1'],['Rest:5 m3'],Boris Pasternakstraat,T93a,T93,T,1,0,0,0,0,1
5,124626,481633,96698.0,124625.600~481632.678~afval_cluster~124625.600|481632.678,579957.0,139758.0,2020-04-01 13:57:12,2020-04-01 13:57:12,913ce614-35ad-16e8-2f1c-95919a2561cc,False,357.0,afval_cluster,124625.600|481632.678,"['Rest:1', 'Glas:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Plastic:5 m3']",Agatha Christiesingel,T93a,T93,T,1,1,0,1,0,3
6,124632,481626,476896.0,124631.938~481626.112~afval_cluster~124631.938|481626.112,960365.0,41698.0,2020-04-01 13:57:12,2020-04-01 13:57:12,771f05a8-a007-1b89-2052-873a153934ef,False,357.0,afval_cluster,124631.938|481626.112,"['Plastic:1', 'Textiel:1']","['Plastic:4 m3', 'Textiel:3 m3']",Agatha Christiesingel,T93a,T93,T,0,1,0,0,1,2
7,124650,481552,385046.0,124650.112~481551.780~afval_cluster~124650.112|481551.780,868471.0,2641.0,2020-04-01 13:57:12,2020-04-01 13:57:12,cc4d4819-4cf9-2cf7-527b-10f79c4dc0f0,False,357.0,afval_cluster,124650.112|481551.780,"['Glas:1', 'Plastic:1']","['Glas:5 m3', 'Plastic:5 m3']",Boeninlaan,T93a,T93,T,0,1,0,1,0,2
8,124656,481732,345851.0,124656.441~481732.340~afval_cluster~124656.441|481732.340,829241.0,124768.0,2020-04-01 13:57:12,2020-04-01 13:57:12,b80c6e0c-a3db-0ee2-c510-642f74e570ce,False,357.0,afval_cluster,124656.441|481732.340,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1', 'Textiel:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3', 'Textiel:3 m3']",Albert Camuslaan,T93a,T93,T,1,1,1,1,1,5
9,124660,481325,435130.0,124659.585~481324.896~afval_cluster~124659.585|481324.896,918579.0,29743.0,2020-04-01 13:57:12,2020-04-01 13:57:12,857deff9-894d-63a9-962b-eae4eb051b5d,False,357.0,afval_cluster,124659.585|481324.896,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Boris Pasternakstraat,T93a,T93,T,0,1,1,1,0,3
10,124670,481808,8931.0,124670.091~481808.144~afval_cluster~124670.091|481808.144,492139.0,852.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c68fe955-8818-3387-1a6e-b7fa7a70ca1a,False,357.0,afval_cluster,124670.091|481808.144,['Rest:1'],['Rest:5 m3'],Alexander Dumaslaan,T93a,T93,T,1,0,0,0,0,1
11,124694,481350,276714.0,124693.739~481350.393~afval_cluster~124693.739|481350.393,760068.0,112620.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ae70f328-3269-e784-9748-b52b8f5aecc5,False,357.0,afval_cluster,124693.739|481350.393,['Rest:1'],['Rest:5 m3'],Alfred Döblinstraat,T93a,T93,T,1,0,0,0,0,1
12,124698,481580,415637.0,124698.035~481580.074~afval_cluster~124698.035|481580.074,899079.0,111666.0,2020-04-01 13:57:12,2020-04-01 13:57:12,b991fd0d-158c-4271-02dd-990c1efd20d9,False,357.0,afval_cluster,124698.035|481580.074,['Rest:1'],['Rest:5 m3'],Andersensingel,T93a,T93,T,1,0,0,0,0,1
13,124703,481454,12851.0,124703.030~481453.586~afval_cluster~124703.030|481453.586,496060.0,4467.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f2f8aeaa-eba7-9bf1-ef3b-e328be999914,False,357.0,afval_cluster,124703.030|481453.586,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Boeninlaan,T93a,T93,T,0,1,2,1,0,4
14,124710,481233,117836.0,124710.178~481232.665~afval_cluster~124710.178|481232.665,601102.0,37130.0,2020-04-01 13:57:12,2020-04-01 13:57:12,efd8c306-1952-79fb-d6a8-3bbd4bc92d78,False,357.0,afval_cluster,124710.178|481232.665,['Rest:1'],['Rest:5 m3'],Boris Pasternakstraat,T93a,T93,T,1,0,0,0,0,1
15,124742,481697,452398.0,124741.603~481696.695~afval_cluster~124741.603|481696.695,935859.0,52582.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a2461c83-39b2-9229-7042-8080c1b8af5d,False,357.0,afval_cluster,124741.603|481696.695,['Rest:1'],['Rest:5 m3'],Agatha Christiesingel,T93a,T93,T,1,0,0,0,0,1
16,124744,481932,406203.0,124744.260~481931.953~afval_cluster~124744.260|481931.953,889637.0,17838.0,2020-04-01 13:57:12,2020-04-01 13:57:12,eddd59d3-0c58-3ff4-2c90-d889ffeae590,False,357.0,afval_cluster,124744.260|481931.953,['Plastic:1'],['Plastic:4 m3'],Dolingadreef,T93a,T93,T,0,1,0,0,0,1
17,124746,481947,58630.0,124745.626~481946.887~afval_cluster~124745.626|481946.887,541868.0,25061.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4890cdb7-4637-35de-5cd7-ccefdeaec90b,False,357.0,afval_cluster,124745.626|481946.887,['Rest:1'],['Rest:5 m3'],Dolingadreef,T93b,T93,T,1,0,0,0,0,1
18,124753,482013,381299.0,124752.685~482013.443~afval_cluster~124752.685|482013.443,864719.0,90988.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d1a467fb-658b-9527-ae44-77ca3cdf2827,False,357.0,afval_cluster,124752.685|482013.443,['Rest:1'],['Rest:5 m3'],Dalsteindreef,T93b,T93,T,1,0,0,0,0,1
19,124758,481768,349296.0,124757.692~481768.453~afval_cluster~124757.692|481768.453,832692.0,99002.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4c35ff03-cfdc-c7f7-793a-f094e75e8ee3,False,357.0,afval_cluster,124757.692|481768.453,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Anatole Francesingel,T93a,T93,T,1,1,1,1,0,4
20,124781,481317,80200.0,124781.476~481317.080~afval_cluster~124781.476|481317.080,563448.0,48164.0,2020-04-01 13:57:12,2020-04-01 13:57:12,e565d9c5-73ae-f796-04a8-b29ec88d5920,False,357.0,afval_cluster,124781.476|481317.080,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Boeninlaan,T93a,T93,T,0,1,1,1,0,3
21,124781,481398,240743.0,124780.765~481398.317~afval_cluster~124780.765|481398.317,724075.0,86419.0,2020-04-01 13:57:12,2020-04-01 13:57:12,26619858-33e0-4dac-4e99-545e5f7804f5,False,357.0,afval_cluster,124780.765|481398.317,['Rest:1'],['Rest:5 m3'],Alfred Döblinstraat,T93a,T93,T,1,0,0,0,0,1
22,124786,481507,292912.0,124785.655~481506.516~afval_cluster~124785.655|481506.516,776270.0,116086.0,2020-04-01 13:57:12,2020-04-01 13:57:12,51d21032-755e-ad66-c781-f439caa1e1c0,False,357.0,afval_cluster,124785.655|481506.516,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Barbusselaan,T93a,T93,T,1,1,1,1,0,4
23,124789,481630,259160.0,124789.174~481630.282~afval_cluster~124789.174|481630.282,742503.0,111456.0,2020-04-01 13:57:12,2020-04-01 13:57:12,eacc7828-f68f-a600-f4b2-d89bd664eed0,False,357.0,afval_cluster,124789.174|481630.282,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Andersensingel,T93a,T93,T,1,1,1,1,0,4
24,124793,481084,22014.0,124792.878~481083.667~afval_cluster~124792.878|481083.667,505226.0,123253.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d8d1dd4e-bbee-fe1b-f3db-537aebca4a19,False,357.0,afval_cluster,124792.878|481083.667,['Rest:1'],['Rest:5 m3'],Boris Pasternakstraat,T93a,T93,T,1,0,0,0,0,1
25,124795,481280,205904.0,124795.440~481279.800~afval_cluster~124795.440|481279.800,689217.0,101862.0,2020-04-01 13:57:12,2020-04-01 13:57:12,9a667203-abf2-39a0-9023-bf217e801d01,False,357.0,afval_cluster,124795.440|481279.800,['Rest:1'],['Rest:5 m3'],Boeninlaan,T93a,T93,T,1,0,0,0,0,1
26,124798,481187,188081.0,124797.828~481187.188~afval_cluster~124797.828|481187.188,671386.0,12472.0,2020-04-01 13:57:12,2020-04-01 13:57:12,dfa7eccd-7256-b23d-cf44-79c7f27f232c,False,357.0,afval_cluster,124797.828|481187.188,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1', 'Textiel:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3', 'Textiel:3 m3']",Berthold Brechtstraat,T93a,T93,T,1,1,1,1,1,5
27,124815,481820,189760.0,124815.437~481820.213~afval_cluster~124815.437|481820.213,673066.0,140390.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1637f1c3-c2b6-0073-b4d4-9af246d96265,False,357.0,afval_cluster,124815.437|481820.213,['Rest:1'],['Rest:5 m3'],Dolingadreef,T93b,T93,T,1,0,0,0,0,1
